"","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"CG14556",10.5049864541096,38.8295201723345,65.4921274173005,18.7175494119505,5.42370980212834,0,0.646271859780747,259.612184550772,284.718740567133
"CG14561",414.542926996788,747.827795911627,554.344078496436,550.997860814292,220.047654829207,331.558505412159,229.426510222165,133.820713685965,168.628063609701
"CG14562",1128.88200587624,785.938250895585,745.362783463563,960.444254200709,409.877497903698,1349.36601039832,1156.82662900754,832.364839126701,924.488529639112
"CG14563",0,0,0,8.57887681381064,0,0,0,0,0
"CG14564",8.08075881085356,0,6.23734546831433,0.389948946082302,0.774815686018334,7.71066291656183,6.46271859780747,0,24.5739389179966
"CG14565",43.6360975786092,0,3.11867273415717,0,15.4963137203667,0,6.46271859780747,0,3.38950881627539
"CG14566",91.3125745626453,105.702582691355,25.7290500567966,23.0069878188558,2498.00577172311,0,5.17017487824597,5.35282854743859,7.62639483661963
"CG14567",37.1714905299264,48.8964328096064,65.4921274173005,38.9948946082302,111.57345878664,19.2766572914046,13.5717090553957,109.732985222491,71.1796851417832
"CG14568",8.08075881085356,17.2575645210376,0,0,40.2904156729534,0,4.52390301846523,10.7056570948772,6.77901763255078
"CG14569",22.62612467039,7.19065188376565,0,0,6.19852548814667,7.71066291656183,6.46271859780747,0,0
"CG14570",16.1615176217071,17.2575645210376,3.11867273415717,0,0,19.2766572914046,30.3747774096951,5.35282854743859,12.7106580610327
"CG14572",25.8584281947314,79.0971707214221,56.136109214829,0,1106.43679963418,0,3.23135929890373,0,1.69475440813769
"CG14573",0,0,0,3.11959156865841,3.09926274407333,0,0,0,0
"CG14579",143.837506833193,61.8396062003846,123.187572999208,138.431875859217,137.917192111263,0,0,864.481810411332,805.008343865405
"CG1458",1034.33712778926,1232.47773287743,1240.45208001101,1252.12606587027,2534.42210896597,1603.81788664486,1789.52677973289,1389.05900806031,1332.9243420003
"CG14589",86.4641192761331,53.9298891282423,173.086336745723,277.253700664516,108.474196042567,7.71066291656183,14.8642527749572,968.861967086385,1165.14365559467
"CG14590",17.7776693838778,0.719065188376565,46.7800910123575,25.3466814953496,163.486109749868,15.4213258331237,49.7629332031175,93.6744995801753,136.427729855084
"CG14591",368.482601774922,337.960638536985,597.225828591098,373.571090346845,95.302329380255,158.068589789518,312.795580133881,655.721497061227,1007.53149563786
"CG14598",258.584281947314,158.913406631221,157.492973074937,20.667294142362,2762.99273634138,0,0.646271859780747,5.35282854743859,4.23688602034424
"CG14605",0,0.719065188376565,25.7290500567966,68.6310145104851,11.622235290275,0,1.29254371956149,1793.19756339193,1735.428513933
"CG14606",77.5752845841942,30.9198031001923,0.779668183539292,108.795755956962,516.802062574229,96.3832864570229,98.8795945464543,219.465970444982,175.407081242251
"CG14607",4.84845528651214,0,0,32.7557114709133,0,7.71066291656183,14.2179809151764,56.2046997481052,41.5214829993735
"CG14608",415.351002877873,224.348338773488,162.170982176173,31.1959156865841,1763.48050137773,7.71066291656183,45.2390301846523,18.7348999160351,54.2321410604062
"CG14609",105.857940422182,89.164083358694,346.952341674985,279.203445394928,53.462282335265,0,2.58508743912299,1335.53072258593,1479.52059830421
"CG1461",520.400867418969,616.957931627092,648.683928704691,609.100253780555,4276.20777113518,986.964853319914,200.990548391812,3155.49242871505,688.070289703904
"CG14610",0,11.505043014025,0.779668183539292,3.11959156865841,0,0,0,26.7641427371929,13.5580352651016
"CG14613",1539.3845534676,1553.89987208176,1645.09986726791,1652.99358244288,1644.1588857309,1106.48012852662,1175.56851294118,827.012010579262,799.076703436923
"CG14615",21.0099729082193,110.016973821614,35.8647364428074,154.809731594674,44.9393097890634,801.90894332243,779.403862895581,1263.26753719551,1309.19778028637
"CG14618",238.38238492018,350.184746739387,378.918737200096,450.391032725058,224.696548945317,643.840353532913,574.535683345084,179.319756339193,172.017572425976
"CG14619",3456.94861928315,2843.90282002931,3321.38646187738,2682.45880010015,3437.85719886335,2224.52625142809,2387.97452188986,4167.17702418094,4958.00402100683
"CG14621",797.570894631247,740.637144027862,1200.68900265051,1067.29026542726,970.069238894954,1249.12739248302,897.671613235457,909.98085306456,1115.99577775867
