"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CG30484",33.848967477968,-0.840724928965161,0.983678812872765,-0.854674226956137,0.392731522449347,0.831407928525684
"CG30485",32.2183987527575,-1.10550673843017,1.04513614907776,-1.0577633731315,0.290163335006961,0.831407928525684
"CG30486",8.65992881870401,-1.36586111231291,1.25526678504285,-1.08810424093734,0.276549091731827,0.831407928525684
"CG30487",7.86973436188138,-1.06390260116298,1.27056101649817,-0.837348688766825,0.402396598752652,0.831407928525684
"CG30491",74.9346390028405,0.0634615820219258,0.363859790043898,0.174412187766803,0.861541536666434,0.945929250901492
"CG30493",56.6654490965908,-0.109794083033434,0.396748061663773,-0.276735020640076,0.781983579034075,0.916422973230087
"CG30495",50.5311480835122,-0.105853529986446,0.341887637644497,-0.309614967992831,0.756853772456729,0.905582632719719
"CG30496",48.3555873048914,-0.382357704639438,0.513847456756231,-0.744107418674698,0.456811491517815,0.831407928525684
"CG30497",0,NA,NA,NA,NA,NA
"CG30499",22.7281236367996,-0.651710405742706,0.671681119608293,-0.970267567030566,0.331913139228786,0.831407928525684
"CG30503",0,NA,NA,NA,NA,NA
"CG3061",570.351253389642,0.247224852102503,0.218507915169645,1.13142286818564,0.257877150881403,0.831407928525684
"CG3062",7.69312652634099,-1.4225852937496,1.1017119386726,-1.29124977574774,0.196617080059763,0.831407928525684
"CG3065",273.150217606562,0.280331102253222,0.289266924545096,0.969108731300938,0.332490941771913,0.831407928525684
"CG3071",86.8818406235769,0.00722800687044542,0.300857125403748,0.0240247155879904,0.980832894206315,0.993717398563705
"CG3077",130.517050460524,-0.114769486897421,0.229378380021884,-0.500350063011478,0.616828608930468,0.852759153209349
"CG3078",671.061090531973,0.307049251566004,0.300191763272328,1.02284369237492,0.306381755961602,0.831407928525684
"CG3081",19.8809910069364,-1.2721900601578,1.01555296302617,-1.25270675826389,0.210312445542911,0.831407928525684
"CG3085",28.0279012490917,-0.950114426221066,1.0325394410383,-0.92017252654838,0.357482608736535,0.831407928525684
"CG3088",14.6389020918885,-0.61775698689819,1.0707241183533,-0.576952528022121,0.56397152476609,0.84269656312935
"CG3091",88.7244663983145,0.270743768472452,0.309529826306201,0.874693633577719,0.381740625080732,0.831407928525684
"CG3092",22.4627825465202,-0.73822698567028,0.853473424940397,-0.864967747205292,0.387056491444888,0.831407928525684
"CG3097",87.5805196252144,0.367500157617578,0.571899965615264,0.642595173479704,0.520486815700666,0.831890037681799
"CG31002",17.5647782647585,-1.36018130864705,1.06322612551137,-1.27929635663614,0.200792715119262,0.831407928525684
"CG31007",21.6444832393979,-0.252581308295076,0.648129129488419,-0.389708310895459,0.69675225026802,0.880066399060956
"CG31008",16.9737440887843,-0.582558885718193,0.616342496265443,-0.945186952462385,0.34456343942309,0.831407928525684
"CG31010",17.4804375105909,-0.819577690274629,0.94418956254146,-0.86802240015086,0.385382070035812,0.831407928525684
"CG31013",23.1370108418191,-1.10873664828273,0.784892227878884,-1.41259730814128,0.157774160995607,0.831407928525684
"CG31016",43.2021447935537,-1.13362091257421,1.05224979090023,-1.07733061329892,0.281332590456661,0.831407928525684
"CG31019",32.7948678778544,-1.05343253798759,0.673102264617626,-1.56504084648418,0.117573332113401,0.831407928525684
"CG31021",18.5553905257685,-0.901527298935347,0.90290901307926,-0.998469708327309,0.318051646077479,0.831407928525684
"CG31028",61.5225014377507,-0.93985105634011,0.755285181710931,-1.24436580923127,0.213364960552639,0.831407928525684
"CG31029",41.8018189116143,-0.44441803675606,0.904569585788043,-0.491303315674594,0.623211935104897,0.854370458880385
"CG31030",920.895422098064,0.597469694058879,0.374679019030509,1.59461742908596,0.110797812675135,0.831407928525684
"CG31036",59.5898378831679,-0.830097995595703,0.659848954335634,-1.25801214072012,0.208387365568373,0.831407928525684
