"gene","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2","cold_3"
"CG34238",24,25,12,0,4,2,4,1,0
"CG14151",32,15,5,16,1,0,3,0,0
"CG42536",43,24,14,8,0,0,6,0,0
"CG42535",18,19,8,0,0,0,10,0,0
"hay",742,268,107,1255,1256,229,284,426,684
"CG34001",64,56,14,36,56,13,26,11,54
"E(z)",571,291,70,1419,1203,261,310,434,741
"CG8009",518,289,67,1123,937,165,270,462,693
"CG18628",559,286,81,657,710,142,298,404,319
"CG32066",1189,441,154,2125,2005,457,524,788,1150
"CG14154",51,52,13,12,0,0,9,0,0
"CG14153",143,50,21,85,74,19,39,59,65
"CG8003",640,301,87,1503,1048,235,294,455,602
"CG32068",674,240,79,776,691,157,296,353,460
"simj",3027,1345,496,7665,6993,1365,1589,2537,3698
"CG11811",1255,474,150,2589,2595,678,784,1003,1622
"CG33493",915,513,159,1267,948,358,460,840,753
"CG6463",1530,684,184,2294,1918,524,733,1357,1351
"NijA",245,100,34,343,232,87,54,80,156
"CG43245",83,29,25,0,0,0,13,0,0
"CR44544",32,25,7,11,8,0,1,2,4
"CR44545",47,27,7,0,0,0,3,0,0
"CR44546",13,15,1,0,0,0,0,0,0
"CG12523",72,48,12,15,22,0,6,0,0
"CR44347",72,72,26,28,3,6,6,0,2
"CG42831",50,34,16,0,0,0,3,0,0
"CR45247",16,26,12,0,0,0,0,0,0
"CR45246",52,18,15,0,0,0,2,0,0
"CR45169",40,27,15,58,6,0,2,0,0
"tna",3131,1431,390,4194,3252,954,1137,2277,2033
"CG6418",1037,570,169,2628,2335,463,582,879,1325
"Blos4",199,99,41,235,235,42,84,112,209
"CG6409",17149,5958,1772,13462,12015,3536,4425,10546,7891
"CG7949",392,209,34,675,530,144,260,239,358
"CG6404",477,288,40,1096,1141,236,252,355,525
"Cpr67Fa1",40,35,4,0,12,0,2,0,0
"Cpr67Fa2",15,5,6,18,9,0,1,0,0
"CR45171",43,23,13,46,14,2,10,18,7
"Cpr67Fb",23,16,2,0,1,0,3,4,0
"Aps",11157,4356,1387,22391,22135,4673,5842,9747,14782
"CG34050",16,17,10,5,0,0,3,0,0
"CR45248",22,34,20,9,0,0,1,0,0
"CR45249",45,38,6,0,0,2,0,0,0
"CG14147",47,29,11,1,34,0,6,0,1
"CR45745",25,15,3,0,3,0,0,0,3
"klu",606,343,100,558,409,169,170,442,391
"snoRNA:Me18S-G962",10,10,2,0,4,0,0,0,0
"Fad2",4219,1784,498,5653,4022,1009,1656,3170,2028
"CG32079",124,97,27,16,0,0,8,0,0
"CG32081",158,99,39,18,0,1,10,1,0
"CR44547",33,49,10,7,0,0,4,0,0
"CG43693",1972,1029,277,4253,3466,647,823,1648,1869
"CR45119",54,12,9,14,1,3,0,0,0
"CG7888",484,249,76,473,608,88,203,245,544
"CG6321",341,144,47,340,276,49,133,126,208
"Blos2",257,82,44,274,408,75,125,171,277
"CG32069",114,69,17,276,147,38,57,65,69
"CG32075",470,271,107,762,694,157,235,312,444
"CG45101",0,0,0,0,0,0,0,0,0
"SuUR",0,0,0,0,0,0,0,0,0
"CG6310",137,108,26,116,171,61,80,70,84
"Mocs1",434,216,114,1110,910,217,245,342,446
"l(3)01239",1176,433,142,1794,1801,497,517,711,1259
"CG7839",2736,1011,352,4576,4035,748,1272,1758,2695
"JIL-1",4025,1631,605,8190,7463,1522,1958,3096,5073
"CG6279",144,57,37,33,7,1,16,11,6
"pncr011:3L",250,104,54,454,345,87,116,163,193
"CG6272",352,109,26,413,278,85,124,202,266
"APP-BP1",538,219,80,880,791,156,219,310,515
"Elo68beta",55,60,12,0,0,0,8,0,0
"Elo68alpha",47,53,31,8,12,0,1,19,3
"CG32071",45,15,6,0,0,0,3,0,0
"CG32073",9,18,8,2,1,0,0,0,0
"CG12522",14,10,4,0,0,0,0,0,0
"CG34012",31,25,3,19,0,0,5,0,0
"CG7638",534,153,67,727,823,153,199,245,388
"Sod",3393,1460,373,6737,6542,1225,1567,2938,2689
"fd68A",4947,2352,637,10048,10124,2075,2815,4415,6594
"mRpL2",354,187,70,732,611,86,162,201,287
"Ufd1-like",398,159,44,664,646,119,139,277,358
"CG42575",3136,1325,470,6461,6600,1274,1594,1981,3401
"nol",13,22,13,5,8,1,2,10,9
"CG32074",21,22,1,0,0,2,0,0,0
"CG14143",33,11,0,0,0,0,0,0,0
"CG32082",1158,504,160,855,887,237,275,557,682
"CG6216",71,52,15,0,1,0,3,9,2
"CR43989",36,42,11,13,16,1,0,4,1
"Alg10",190,172,42,364,368,70,82,113,199
"wls",550,331,98,1272,1387,246,322,374,728
"CG7616",275,160,52,404,393,38,81,183,163
"CG14142",172,79,40,45,25,9,17,12,18
"GlcAT-P",1946,871,288,4193,4392,774,1015,1534,2529
"Plod",1545,410,150,2483,2138,409,483,917,955
"CG7607",139,90,19,117,94,16,40,61,37
"CG14141",117,52,12,78,38,15,18,25,21
"Ube3a",2118,877,329,3839,3670,667,1014,1521,2160
"CG7600",722,295,117,1353,1287,250,337,496,597
"CG42671",3625,1276,455,6290,5121,1219,1354,2652,3215
"CR45405",10,9,7,0,0,0,0,0,0
"Ir68a",148,105,58,10,1,0,15,2,6
"CR44718",59,37,5,17,4,0,0,3,0
"CR44719",11,13,12,0,0,0,0,0,0
"CR44714",12,21,14,0,0,0,3,0,0
"CR44713",15,13,0,0,2,0,0,0,0
"CR44715",22,30,7,0,0,0,3,3,0
"CR44717",122,125,26,34,3,0,11,0,3
"CR44716",3,9,3,0,0,0,0,7,3
"scyl",19908,9169,2587,38642,30419,8371,10341,18828,21523
"CR44720",41,10,12,5,0,7,9,4,4
"CR45404",41,6,2,0,1,0,0,0,7
"CG6175",4060,1876,562,6802,5825,1476,1878,3581,4712
"CG7573",83,63,28,7,0,0,7,0,1
"CR44361",48,8,15,0,2,0,3,2,0
"CG6168",107,74,44,25,0,0,0,0,3
"CR44721",19,8,4,5,0,0,0,0,0
"CR44722",36,19,2,0,0,0,0,0,0
"CR44723",44,14,15,0,0,0,3,0,3
"CR45250",20,9,9,0,0,0,1,0,0
"CR45251",14,11,0,0,8,4,0,7,7
"CG6163",420,229,82,655,572,116,172,269,387
"CR45036",160,93,47,138,86,42,34,58,75
"CR42755",75,50,24,1,0,0,3,0,0
"CG11726",61,31,24,0,0,0,5,0,0
"CG44362",15,19,7,0,0,0,3,0,0
"CR44363",34,22,10,0,4,3,0,6,6
"CG7560",142,86,18,96,79,22,36,54,42
"CG6149",41,54,29,0,0,0,5,0,0
"CR44548",35,16,4,0,0,0,0,0,3
"CR44549",28,42,11,18,0,0,0,0,0
"CG7557",103,80,31,10,0,0,8,0,1
"CG12289",62,63,15,14,0,1,3,0,0
"CG7551",63,43,11,0,0,0,5,0,0
"CG6140",80,46,18,33,0,0,1,0,3
"Vha16-3",47,27,7,0,0,0,9,0,0
"Vha16-2",38,23,17,6,1,3,2,0,0
"chrb",8733,3309,1112,17063,15296,3573,4018,7154,10801
"CG33500",6,8,9,0,5,0,0,0,0
"Sgs8",20,12,8,0,0,0,0,0,0
"Sgs7",13,8,0,0,0,3,0,0,0
"CG33272",9,18,12,0,0,0,1,0,0
"Sgs3",47,25,8,12,1,18,11,1,16
"CG7512",181,86,39,59,28,17,23,32,58
"Fuca",135,77,28,128,123,31,23,26,24
"CG11714",78,58,17,0,10,2,3,5,0
"Mob2",3480,1546,443,5363,4487,1036,1313,2483,2950
