"gene","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2"
"CG44004",106,56,25,14,30,12,6,28
"CR45392",38,20,10,25,6,0,6,6
"CR43253",28,24,10,0,0,0,2,0
"CR32194",72,67,12,18,13,1,2,0
"CG34253",77,32,12,60,57,29,27,46
"CG13698",496,231,110,929,901,192,225,339
"mRpS26",396,196,77,846,723,146,195,297
"CG5147",629,255,110,1216,1164,273,396,449
"mus304",356,168,82,754,666,120,129,143
"CG7341",131,82,37,174,240,27,46,115
"CG32195",342,188,77,292,231,36,77,99
"CG42853",48,68,38,10,7,3,5,0
"Cyp312a1",231,138,58,32,49,22,32,58
"CR44669",3,23,0,0,0,0,0,0
"gk",213,102,44,197,127,27,89,104
"CG7330",73,41,24,7,31,4,6,6
"CG13699",192,150,42,2,12,0,17,19
"W",1181,532,148,1676,1415,352,417,644
"CR45234",34,37,11,0,0,0,0,0
"CG7320",85,82,30,24,2,0,11,0
"CheA75a",226,101,43,231,167,48,78,146
"CG5103",92,76,30,5,0,5,10,0
"CR43306",25,35,11,0,0,0,3,0
"CG13700",69,92,27,0,1,0,3,0
"grim",73,55,13,20,1,1,7,4
"rpr",61,32,21,48,48,24,24,28
"skl",48,74,9,0,20,1,1,12
"CR43280",37,37,12,0,0,0,4,0
"CR44670",10,2,5,0,0,0,2,0
"CR44671",48,33,3,0,0,0,1,0
"CG32196",89,50,24,43,41,7,7,15
"CG4306",76,59,28,41,165,15,31,52
"Met75Ca",0,0,0,0,0,0,0,0
"Met75Cb",0,0,0,0,0,0,0,0
"CR44672",17,28,7,0,0,0,0,0
"CR44673",36,8,4,0,0,0,3,0
"AstC-R2",163,132,46,39,50,13,25,53
"CG32198",13,17,7,1,12,0,2,0
"AstC-R1",127,77,36,48,24,4,10,18
"CR45435",43,34,6,0,0,0,0,0
"CG7271",37,34,2,11,0,0,1,5
"term",28,21,10,0,0,0,1,0
"CR45389",21,11,3,0,0,3,4,0
"CR45390",39,14,7,0,0,0,3,0
"CG13380",0,0,0,0,0,0,0,0
"CG4174",0,0,0,0,0,0,0,0
"CG18234",111,62,26,38,0,1,6,0
"CG18233",83,55,36,0,0,0,6,0
"CG18231",109,67,10,7,1,0,9,0
"CG32201",95,104,35,8,4,0,2,0
"CG32199",138,101,28,4,0,0,10,0
"not",649,363,152,1359,1496,235,369,509
"bora",463,306,89,1858,1782,291,487,449
"MYPT-75D",3129,1209,376,6538,5732,1244,1388,2409
"CG42495",77,63,12,32,44,27,31,33
"Capr",9971,4421,1403,26703,27287,5165,6364,9370
"GNBP2",255,115,42,239,201,80,97,121
"GNBP1",245,95,53,176,141,31,38,71
"CG34254",26,15,5,0,0,0,1,0
"Sgf11",168,41,29,259,225,48,90,126
"CG32202",285,174,44,548,360,105,173,218
"Chmp1",505,304,98,909,807,196,241,355
"Cyp12c1",399,114,61,243,245,92,101,136
"CR43987",46,33,8,0,0,0,1,0
"CG6893",67,51,10,0,0,0,3,0
"Dic4",121,70,23,13,2,0,1,0
"CR44674",26,22,10,1,0,0,0,0
"CG12477",76,45,16,0,0,0,8,3
"CR43985",29,39,6,0,0,0,0,0
"CG6885",43,57,17,0,0,0,5,0
"MED11",255,139,54,358,343,71,142,222
"Nufip",444,213,57,619,688,127,196,277
"Atg3",803,315,124,1734,1609,298,482,640
"ftz-f1",7426,3104,1029,16243,13979,3106,3568,5618
"CG14073",5120,2318,654,11426,10292,2378,2636,4524
"HipHop",549,264,77,1389,1294,254,389,412
"Cat",6092,2203,726,10875,10679,2352,2941,5149
"Indy",2284,881,306,3723,3511,756,1003,1614
"CR32027",323,209,90,574,829,172,216,323
"CR45387",23,8,6,0,5,0,0,0
"CR45388",56,23,5,1,0,0,1,0
"mir-315",8,11,0,0,0,0,0,0
"CG6865",51,53,13,0,3,0,8,0
"CG14074",256,143,29,405,448,105,109,180
"Dysb",239,112,46,386,336,51,82,147
"CG6852",239,110,41,432,369,44,87,135
"Rad9",232,141,52,369,467,76,93,157
"Blos3",130,49,8,159,169,34,44,85
"Ugt",2248,979,305,4422,4575,833,1099,1609
"CG3961",2515,940,312,2709,1909,586,933,1732
"NijB",49,51,20,0,1,3,20,0
"CG3902",2631,1046,356,3973,4133,763,1058,2013
"snoRNA:Psi28S-2566",77,27,12,153,171,23,34,11
"RpL26",8560,3570,1038,15567,14342,3116,4095,5971
"arx",361,197,74,506,649,125,168,239
"CG6843",1593,668,200,2794,2781,630,802,1298
"CSN1b",775,334,116,1429,1357,321,380,486
"CG6841",380,200,83,748,669,110,170,249
"Ir75d",35,10,7,0,0,0,2,0
"CG14077",53,33,8,0,0,0,8,1
"CG6839",450,278,105,648,522,32,262,340
"CG18223",64,53,11,0,0,0,7,4
"CG3819",2649,1151,406,3450,2385,442,1417,1963
"CG32204",214,101,31,66,33,17,33,42
"CG43049",42,37,12,10,0,2,7,0
"CG6836",177,103,33,60,98,32,67,57
"CR45689",17,0,0,0,0,0,2,0
"CG14075",80,39,14,11,48,16,10,16
"CG11619",371,88,50,262,186,34,64,57
"CG34256",104,37,4,72,54,17,18,42
"CG18135",10601,3027,1637,13945,10180,2245,4657,5737
"CG3808",576,251,77,803,927,123,236,335
"CG18136",114,72,38,55,19,3,6,17
"nkd",799,375,99,1724,1172,298,219,495
"Acp76A",50,34,16,0,4,0,3,0
"CR44675",13,27,10,11,0,0,0,0
"CG43407",53,25,10,0,0,0,8,0
"CG3797",791,320,135,1924,1677,285,408,601
"CG6812",429,181,76,698,736,175,168,198
"Mkp3",1637,843,202,3662,3219,663,827,1252
"CR45386",33,20,9,0,0,0,6,0
"MESR6",498,210,82,1191,1126,207,271,327
"CG11577",247,118,31,436,487,104,127,134
"CG10424",128,56,28,221,251,57,54,44
"CG14079",59,60,18,19,11,0,0,16
"Gem2",352,159,63,916,952,123,177,255
"CG14082",196,170,89,35,14,7,22,12
"Spn75F",93,42,23,0,2,4,6,8
"fz2",1511,612,243,2444,1889,441,509,759
"CR43893",43,29,14,0,0,0,5,0
"CG33647",33,45,16,0,0,0,1,0
"CR43892",1,10,1,11,0,0,0,0
"mRpL21",307,125,41,431,363,68,148,110
"rept",747,354,97,1368,1278,230,384,570
"nes",1085,410,126,1975,1845,395,465,628
"CR45210",43,47,9,0,5,1,6,0
"Bet1",275,190,56,420,482,61,126,220
"Max",448,260,97,1074,783,179,283,373
"CG42374",0,0,0,0,0,0,0,0
"CG9666",0,0,0,0,0,0,0,0
"CG45081",17,35,4,0,0,0,0,0
"CG9629",257,172,79,453,324,113,87,175
"CG14085",240,149,63,0,6,1,1,11
"CG14088",41,27,18,15,0,0,2,0
"CG14086",78,70,25,23,2,1,8,0
"CG14089",44,22,15,12,13,4,0,3
"Gbs-76A",3543,1145,364,4096,2664,899,1006,1976
"fal",578,300,93,1198,1271,198,283,328
"pip",729,452,169,166,128,13,46,83
"CG32206",703,429,146,248,240,118,114,230
"ms(3)76Ba",131,79,28,7,2,0,9,0
"CR43966",9,9,6,8,0,0,0,0
"CR32205",87,48,10,48,69,7,17,24
"CG33255",1,9,0,0,0,0,0,0
"CR45732",66,61,6,37,7,0,0,7
"CG33062",97,78,23,89,70,19,14,43
"Chd3",772,343,129,2311,2226,417,491,534
"CR45434",37,36,12,0,0,0,0,0
"CG14095",76,70,22,10,9,3,2,1
"CG14096",10,7,6,0,0,0,2,0
"CG32214",17,34,8,0,0,0,0,0
"825-Oak",7,5,0,0,0,0,0,0
"CG12519",6,15,5,0,0,0,0,0
"CG18294",1,7,2,0,0,0,0,0
"CG32213",1,1,3,0,0,0,0,0
"CR32207",215,89,39,391,339,65,100,132
"brv1",187,123,51,32,0,5,15,5
"pncr009:3L",289,100,40,465,474,78,133,150
"CG32212",22,29,2,5,0,0,0,0
"CG9449",325,204,51,248,129,41,129,112
"CG9451",318,235,53,145,103,18,219,345
"CG9452",159,68,27,17,31,14,28,41
"CR45731",16,17,2,3,0,0,0,3
"Cpr76Ba",37,44,7,1,0,0,7,0
"Cpr76Bb",25,24,2,0,0,0,3,0
"Cpr76Bc",122,81,29,12,8,5,3,6
"Cpr76Bd",223,168,61,64,47,11,31,50
"CG9279",488,282,82,536,351,86,81,159
"CG43885",46,41,18,0,1,0,9,6
"l(3)76BDr",2301,935,295,3230,2926,764,845,1406
"Rcd7",114,105,43,2,6,0,14,2
"CG9300",479,226,95,627,726,100,219,309
"CR44677",107,65,31,19,0,1,2,0
"CR44676",32,25,6,0,12,0,3,0
"mir-9a",13,0,1,0,0,0,0,0
"Shal",489,216,85,235,231,69,117,188
"CG9231",893,440,146,2024,1696,441,483,758
"CG9330",967,476,170,1670,1821,403,437,782
"CG14100",458,216,100,863,778,182,246,338
"ash1",2907,1229,390,6982,7023,1347,1521,2042
"Taf6",837,380,127,1855,1826,303,466,552
"CG9368",151,145,23,78,56,11,18,21
"lush",76,43,12,9,18,4,7,6
"CG9372",511,209,100,623,524,129,208,337
"Lon",1748,671,227,2692,2769,603,793,1098
"CG9376",242,135,38,541,594,118,148,242
"l(3)76BDm",811,429,140,1101,1258,220,297,454
"asf1",1046,536,243,3083,3375,703,715,971
"ms(3)76Cc",214,143,41,9,4,2,15,5
"wnd",1971,716,252,3324,3072,720,763,1261
"CG8786",617,306,92,1103,1171,216,287,277
"Oat",522,219,61,587,499,94,154,414
"tey",266,168,46,92,68,16,20,45
"CR44678",79,54,30,14,0,0,5,0
"CG8765",1585,712,217,2633,2925,587,777,1247
"Gbeta76C",341,173,65,392,301,91,114,211
"verm",357,157,66,166,613,61,58,66
"serp",435,176,70,326,672,105,129,185
"CG42638",0,0,0,0,0,0,0,0
"Trpml",0,0,0,0,0,0,0,0
"CG42529",0,0,0,0,0,0,0,0
"ms(3)76Ca",0,0,0,0,0,0,0,0
"Gyc76C",0,0,0,0,0,0,0,0
"CG42637",0,0,0,0,0,0,0,0
"HLH106",3601,1499,443,5925,5959,1176,1578,2937
"mir-33",4,5,0,0,0,0,0,0
"CG14102",259,117,40,401,316,104,94,75
"Ir76a",254,132,50,133,80,31,21,47
"CG14103",373,178,59,736,675,184,223,301
"CG15881",450,256,61,844,791,128,203,269
"CG34116",142,85,19,283,221,39,61,86
"CG14104",159,94,35,123,128,43,34,94
"Kap-alpha1",2068,980,263,4514,4067,847,1001,1638
"Cyp305a1",266,161,33,354,253,51,77,86
"cyc",761,287,142,1810,1797,343,442,592
"Fibp",293,165,54,526,537,91,152,146
"Deaf1",1894,870,295,4206,3899,919,1035,1501
"trc",2084,986,302,4668,3935,957,1059,1616
"CG32221",161,100,49,185,171,40,50,104
"kto",1457,781,214,2768,2971,486,710,1109
"Papss",477,287,103,713,671,99,227,376
"CR45433",88,74,48,216,240,26,77,178
"Rab8",3354,1504,470,6452,5896,1461,1637,2579
"CG8334",1886,882,251,4183,3347,672,761,1203
"Mi-2",6588,2740,1001,17014,15985,2767,3875,6295
"Su(Tpl)",10597,4473,1379,22017,20072,4516,5287,9172
"CR32218",843,312,107,1175,944,261,304,575
"CR43889",68,30,16,61,53,14,18,28
"Prp3",864,323,85,1325,1556,290,407,482
"Mtr3",310,154,82,489,488,142,151,316
"Rpn1",2436,1072,349,5453,5919,1062,1383,2198
"Su(z)12",1812,855,227,4663,4144,782,1082,1529
"CG7770",532,241,90,1019,913,194,302,448
"Grasp65",709,374,92,1425,1700,290,356,663
"CG8004",219,105,49,403,357,83,115,168
"RhoGDI",1755,628,192,3494,2946,757,775,1197
"CR45678",15,17,5,0,0,0,5,0
"Ac76E",936,510,180,1300,800,247,282,424
"CG32219",38,45,23,6,2,2,4,0
"CG34258",22,24,6,0,0,0,0,0
"CG33710",35,19,5,0,0,0,6,0
"CG42655",50,24,3,18,0,0,5,0
"CG42654",32,34,9,0,0,0,5,0
"CG42263",73,62,12,16,0,0,0,0
"CG14182",93,82,22,95,168,37,59,61
"CG17732",161,141,34,79,23,25,23,26
"hale",46,41,19,0,0,0,1,0
"schuy",81,80,19,3,2,0,2,1
"Csas",116,45,19,40,30,2,12,24
"fln",593,212,68,493,359,145,147,291
"CR45161",42,41,12,10,6,0,4,2
"CG7646",281,120,47,267,143,53,63,121
"Nca",918,343,146,1339,895,370,402,557
"CG7433",1606,663,230,3346,3208,665,735,1112
"Tom20",973,395,119,1632,1926,354,489,664
"CG7668",1446,473,176,2398,2383,570,578,968
"kug",5163,2007,791,10406,9759,1880,2037,3056
"CG14183",227,118,51,118,66,18,7,21
"CG14184",497,231,74,903,892,210,253,431
"sNPF-R",323,244,76,169,78,14,44,36
"CG14186",312,148,62,175,117,23,82,105
"CR44679",57,46,8,0,1,0,4,0
"CG14185",59,29,20,18,0,0,4,0
"Ir76b",104,92,25,103,35,9,3,9
"CG14187",208,80,35,174,201,31,77,45
"CG7365",143,152,40,25,50,10,19,12
"gig",1460,673,266,2432,2232,438,565,931
"obst-J",53,75,21,10,4,2,7,0
"CG7335",84,60,22,0,9,0,1,1
"CG7328",201,85,39,304,276,30,63,96
"CG42674",3044,1240,433,5336,4509,958,1136,1864
"Ssk",813,317,108,1109,1114,231,411,948
"CG42833",82,28,15,56,59,14,39,28
"obst-F",58,55,12,0,0,0,1,0
"CG7298",111,87,48,1261,713,57,650,475
"CG7290",86,30,23,20,5,0,11,3
"CG6996",102,79,17,2,0,2,4,0
"CG7017",70,75,28,0,2,2,2,0
"CG6933",95,65,25,65,23,5,87,64
"CG17145",73,72,21,0,0,1,9,1
"CG17147",80,39,6,0,1,3,1,0
"Su(var)3-3",1017,498,206,2042,2323,452,521,702
"CG13813",143,93,37,76,98,12,18,44
"CG17233",4629,2288,649,12091,11799,2306,3039,4160
"Clc",2496,1009,365,4510,4242,783,1304,1701
"CG6951",157,92,22,205,203,51,72,87
"rdgC",551,270,106,278,209,59,56,108
"CR43876",40,30,8,12,0,0,9,0
"CG32228",121,97,28,0,0,0,16,0
"gogo",244,230,59,43,51,4,26,36
"CG17122",94,69,35,9,0,2,10,1
"CR43890",33,24,8,11,1,0,0,6
"FRG1",386,200,79,673,478,124,200,281
"Pex23",844,395,150,1588,1312,239,298,441
"CR43872",139,93,33,13,10,3,3,0
"CG6597",2143,1010,356,4999,4669,1051,1457,1949
"CG32225",175,117,38,125,77,24,46,65
"polo",2915,1251,504,7939,8134,1448,1915,2718
"alphaSnap",2187,857,306,3628,2952,806,996,1692
"CR43875",52,46,15,2,22,0,5,8
"Spn77Ba",663,235,117,649,451,133,224,430
"Spn77Bb",75,42,18,18,2,4,2,0
"CG6434",49,21,13,0,2,0,5,0
"Spn77Bc",67,55,18,0,6,3,6,5
"Rbbp5",284,125,44,350,352,61,112,163
"eRF1",3221,1073,438,5814,5263,1240,1467,2155
"CG5618",733,199,110,1068,767,185,304,449
"kin17",305,162,48,387,527,72,137,156
"CG5665",96,66,15,55,1,0,7,0
"DNApol-alpha60",290,258,40,1112,945,204,255,271
"Toll-9",251,132,63,115,48,18,33,42
"in",129,99,63,25,7,1,13,7
"CG13247",91,78,21,9,8,6,2,0
"Ide",1334,473,228,1921,2019,366,499,787
"RhoBTB",1396,662,238,3242,3248,708,780,913
"CG5498",684,362,100,1087,1107,241,377,455
"fbl",2298,756,303,2775,2356,524,901,1488
"CR43944",108,85,33,49,34,9,8,5
"CG33969",279,144,56,475,389,72,117,127
"CR45677",21,19,2,0,2,0,0,4
"trbl",1132,574,188,3346,2786,533,525,906
"CG13248",155,129,61,27,33,9,18,10
"zye",460,388,122,298,336,78,59,172
"CG5282",123,113,44,58,35,14,23,24
"CG5274",295,181,75,609,495,94,184,265
"CG5262",401,180,50,435,571,56,115,168
"Las",433,182,54,654,642,126,190,332
"Psn",571,242,96,982,1110,228,297,368
"mRpL15",490,201,83,920,833,172,234,371
"CG5872",659,354,131,1824,1635,335,493,472
"CG11796",564,403,90,883,761,160,269,492
"CR45176",23,6,9,19,3,0,2,0
"CR43943",35,41,13,12,3,2,6,6
"CG5910",192,95,34,186,131,50,87,126
"CG5199",586,305,86,1599,1516,260,386,398
"Uhg8",803,334,119,410,366,134,357,1045
"snoRNA:Or-CD11",21,6,2,0,0,0,3,14
"snoRNA:Me18S-U1356a",7,5,7,0,0,0,0,3
"snoRNA:Me18S-U1356b",0,2,0,0,0,0,0,1
"snoRNA:Me18S-U1356c",1,3,6,0,0,0,0,1
"atk",305,280,71,105,86,3,26,32
"mag",2708,1640,358,5064,4223,1004,998,1316
"CG42764",53,34,11,10,7,2,5,10
"CG5955",139,101,42,74,87,14,32,86
"CG32428",1674,726,252,3620,3475,657,821,1321
"CG5969",596,291,110,999,1150,248,350,528
"isoQC",322,112,46,549,514,108,120,198
"ZnT77C",359,185,58,327,234,53,98,136
"CG6020",1270,490,149,2182,1910,322,562,943
"CG32425",3396,1501,602,4705,4852,1223,1728,3438
"CG18281",140,74,25,13,36,9,25,26
"CG17637",48,44,8,31,1,0,2,4
"CG5078",171,71,33,3,15,3,8,10
"CG5059",3969,1620,366,4541,3194,816,1437,2387
"mTerf3",137,105,32,152,156,38,49,99
"CG5104",183,78,37,207,198,44,65,88
"CG4825",2679,1210,418,4143,3706,907,1272,2157
"CG4858",146,54,29,159,154,44,45,103
"Rcd2",598,219,60,565,470,103,201,280
"CG13250",29,34,19,5,0,0,1,6
"knrl",343,195,43,255,213,71,103,212
"CR44684",49,24,6,0,0,0,2,0
"CR44683",117,55,18,0,0,0,9,5
"CR44680",53,37,27,0,0,0,5,0
"CR44681",17,19,6,8,0,0,0,0
"CR44682",12,27,7,16,0,0,0,0
"CG13251",211,136,47,29,19,0,18,28
"CR44685",37,24,11,0,0,0,9,0
"kni",283,202,55,115,137,26,88,116
"cmpy",208,149,37,90,28,11,28,31
"CG34260",26,23,20,5,0,0,7,0
"CR43945",15,18,5,1,0,0,0,0
"CG13252",1505,493,206,1844,1510,443,545,1157
"Gr77a",97,86,11,9,0,0,2,4
"CG33912",26,34,4,10,0,0,0,0
"CG43251",12,16,10,0,0,0,0,0
"CG4074",151,97,34,439,281,46,89,120
"CG4186",80,27,16,71,86,14,7,19
"CG4042",280,112,52,423,365,88,112,129
"Pitslre",3024,1242,446,5899,5591,1044,1509,2275
"Pex16",289,113,47,328,316,61,79,206
"Pex14",1005,381,130,1876,1715,286,377,715
"CG11399",2470,1268,345,7531,6984,1310,1594,2110
"CG11396",425,205,66,616,604,135,165,262
"Six4",341,207,58,327,268,55,122,226
"CR43705",44,41,14,4,0,0,5,5
"CR43706",25,12,2,0,0,0,4,0
"CG3698",50,39,14,0,1,0,3,4
"CG4365",1137,547,170,2597,2389,429,641,1121
"Spc105R",1761,899,338,5087,4639,1036,1247,1217
"CG3634",647,302,97,1367,1273,272,414,485
"CG3680",2086,951,330,5581,5185,1157,1253,1816
"CG3618",530,218,89,982,915,187,290,284
"Pka-R1",3875,1573,531,7264,5336,1296,1622,2906
"Mst77F",72,53,14,0,3,2,4,0
"CR45384",76,37,22,16,0,0,0,0
"CG3288",50,29,8,26,23,9,5,5
"CG13255",193,93,47,177,168,51,78,77
"CSN3",873,309,124,1782,1690,337,470,629
"CG11456",198,136,33,366,345,66,98,92
"CG32432",531,377,69,250,213,67,87,160
"CR44686",51,28,7,3,0,0,5,0
"Sfp77F",51,60,14,13,0,0,3,0
"CG43931",49,39,20,0,0,0,7,0
"CR45383",14,23,9,0,0,0,3,0
"CG11458",158,76,10,28,35,11,8,43
"CR45733",12,16,7,0,0,0,0,0
"CR43930",28,30,10,0,0,0,5,2
"CR45734",20,5,2,0,0,0,0,0
"CR43929",16,18,0,0,4,1,2,5
"fng",346,193,49,259,190,54,151,144
"CG10589",70,41,17,0,3,4,2,0
"CR45243",45,27,7,7,4,0,0,0
"Sems",55,55,13,0,0,0,1,0
"CG10588",157,131,53,23,1,0,10,0
"CG11037",77,39,14,14,0,0,1,0
"CG10587",44,32,7,0,0,0,9,4
"CG12983",234,133,47,38,0,1,24,1
"CG33287",234,196,59,52,1,1,19,3
"CG33286",257,144,52,24,2,2,10,0
"CG12984",76,77,20,6,1,0,13,2
"skd",9558,3750,1367,21106,18104,3865,4451,7336
"scaRNA:PsiU6-40",2,4,1,0,0,0,0,0
"CG10585",276,119,31,530,425,118,137,143
"CG10584",205,146,36,297,365,88,120,89
"Sin",282,190,59,452,469,81,145,164
"CG10581",84,43,12,0,20,2,4,17
"siz",2818,1209,370,5290,4960,1014,1069,1846
"CG43072",32,16,5,14,10,2,3,8
"ko",564,289,87,458,403,94,121,223
"CG33285",74,52,14,0,2,1,9,7
"CG43938",59,95,33,0,0,0,3,0
"CG33284",40,57,6,0,0,0,1,0
"CG10566",132,74,21,82,35,8,26,39
"CG10565",2298,829,289,4068,3881,735,967,1516
"Ac78C",567,346,123,178,181,52,65,66
"chb",3125,1191,460,6751,6335,1349,1592,2485
"asparagine-synthetase",1875,796,344,3307,2910,832,772,1411
"CG42337",644,277,97,619,317,92,172,333
"park",165,117,42,116,131,22,15,89
"CG34261",199,132,39,434,422,105,117,176
"CG33054",72,55,12,162,102,22,21,85
"CG33056",490,250,55,674,722,141,203,230
"CG10512",332,177,35,268,295,53,89,174
"CG10510",73,71,21,11,0,0,10,0
"CG10508",268,184,78,179,132,14,68,103
"CG12975",271,127,38,326,281,45,80,163
"Ilk",970,339,177,1761,1375,264,457,712
"CG43219",38,46,16,25,28,12,14,22
"Eip78C",398,232,86,204,190,60,75,146
"CG43218",43,26,19,8,11,0,6,16
"CG9391",672,263,66,1117,1245,217,277,415
"CG9389",90,63,28,70,19,3,3,3
"CR45162",24,32,11,0,2,0,4,0
"AcCoAS",7069,2478,1082,7297,6329,1449,2414,4511
"ppl",846,470,166,1419,1273,301,544,798
"CG12974",599,248,99,1098,762,136,237,373
"pzg",3580,1429,553,9719,8532,1689,2003,3235
"Cpr78Ca",57,21,8,0,0,0,6,6
"Cpr78Cb",99,61,24,0,8,2,6,3
"Edg78E",57,47,23,37,11,4,9,6
"CG43702",8,23,7,10,0,0,1,0
"Cpr78Cc",21,14,1,0,5,2,1,0
"CR45432",30,25,9,0,0,0,7,0
"CG11309",619,320,120,951,642,188,323,400
"CG7632",490,228,81,1005,802,189,236,359
"Pc",1337,727,211,3805,3404,805,823,1191
"CR45674",15,25,11,0,0,0,0,0
"Rab26",366,212,73,134,130,29,53,68
"CG7338",2069,759,276,2979,3241,540,890,1340
"CG7324",2029,810,260,3774,3625,826,869,1217
"CG32436",353,274,89,89,29,5,34,12
"ebd2",277,168,71,601,472,109,150,170
"CG12971",72,65,24,1,6,3,7,4
"CG32437",177,76,44,30,50,6,11,30
"CG32440",35,28,11,29,19,1,0,6
"rgn",4430,1323,545,6838,5330,1724,1549,3679
"sa",70,54,21,0,0,2,8,0
"barc",1471,600,197,3138,2935,601,810,1123
"CG33288",214,181,64,37,21,11,14,17
"Aef1",5163,2291,775,13526,12659,2815,2803,4346
"CG5664",276,203,63,386,482,111,137,146
"CG5656",174,66,25,14,0,1,17,0
"Syx7",2113,905,328,3808,3435,806,1053,1763
"croc",90,80,17,17,16,5,4,16
"Neu2",87,45,21,0,1,1,4,0
"CG7202",60,38,27,6,2,0,2,0
"CG7519",599,252,94,932,994,187,307,537
"Hr78",966,458,130,1906,1718,368,420,640
"CR43933",149,89,31,31,47,29,63,80
"Glg1",1840,852,285,3722,3122,568,843,1314
"Est-Q",343,119,66,501,265,83,101,177
"M6",368,213,61,426,426,61,122,142
"SAK",446,218,54,996,834,127,224,193
"Cdk12",2739,1087,397,6485,6111,1131,1434,1904
"CG7611",2069,768,262,3851,3577,724,1093,1517
"CG32442",262,110,28,343,367,83,91,160
"CR43877",48,41,4,15,23,5,0,0
"Mkrn1",2138,749,273,4555,4585,909,1166,1539
"ppk5",89,110,26,0,0,0,5,0
"Rpn10",2530,1063,359,4968,5004,1010,1326,2115
"CoVIII",894,429,125,1091,1258,215,436,569
"VhaM9.7-b",1686,580,151,2434,2548,572,797,1217
"CG33290",38,21,17,7,0,0,1,0
"Wnk",8560,3663,1240,19766,17297,4072,4562,7001
"CG7173",130,88,21,13,36,0,2,1
"CapaR",143,86,35,52,33,15,30,13
"CG7634",151,104,41,2,0,0,11,2
"CG7172",1567,710,200,2013,1831,506,686,1261
"Smc5",1348,543,228,3177,2741,486,697,861
"mir-193",4,5,3,0,0,0,0,0
"CG32441",303,130,76,415,551,81,117,151
"CR43939",29,30,9,3,0,0,2,6
"TfAP-2",171,143,41,67,44,2,21,14
"CR43940",76,50,12,10,0,0,6,2
"S1P",511,307,88,813,796,183,216,326
"CG11307",479,243,80,1469,1214,224,314,292
"CG7166",218,135,60,167,52,27,33,28
"CG11306",843,401,174,1576,1559,323,463,716
"MED1",1706,885,309,4944,4884,746,1111,1326
"ORMDL",281,146,38,548,615,89,133,295
"CG32444",932,270,144,2411,1849,416,369,583
"CG32445",58,76,14,16,2,0,10,0
"Atox1",585,243,71,877,870,180,260,307
"CG43980",335,227,53,28,13,4,12,7
"Cpr78E",33,20,14,12,5,0,5,3
"CR43977",60,52,7,1,0,0,1,0
"mir-316",5,5,4,0,1,0,2,0
"CG11249",140,84,27,0,0,1,7,0
"CG7158",1712,741,267,3076,2914,540,782,1033
"CR43979",130,82,13,0,6,0,9,3
"CG11248",786,281,123,1482,1199,268,374,452
"Sfp78E",49,34,21,2,0,5,8,0
"CR43978",60,20,18,11,0,0,1,6
"CG32447",278,207,73,63,26,6,32,15
"CG11247",1063,472,190,2293,2279,538,522,783
"Rpb8",411,207,41,621,497,96,147,298
"CG14570",24,28,10,0,0,2,1,0
"CG14569",39,34,7,8,0,0,0,2
"CG14568",32,49,16,0,0,0,0,0
"CG14573",28,18,4,0,0,0,2,0
"CR43888",26,28,5,0,0,0,0,0
"CG14567",170,89,31,88,104,63,98,103
"CG14566",54,55,6,25,7,2,2,11
"CG14572",50,19,18,7,2,3,4,0
"CG14565",87,47,13,0,7,0,0,0
"Syn1",511,295,80,434,420,124,86,150
"CG14564",62,42,7,0,0,0,0,0
"CG42689",48,14,8,0,0,0,2,0
"CG7370",61,45,10,2,2,0,8,0
"CG42552",25,25,13,10,0,1,0,5
"eg",153,104,21,40,14,0,11,6
"CG43895",38,32,5,11,0,0,0,0
"CycH",364,242,73,1058,1080,137,211,396
"CG7407",272,103,36,326,367,60,71,108
"CG7414",3692,1573,505,5972,5623,1237,1701,3186
"CG32448",315,148,34,440,315,78,117,215
"CR43309",48,47,19,5,2,2,3,0
"CG7148",323,142,39,344,388,93,143,170
"Nopp140",6528,2304,932,12277,12367,2415,2922,5089
"P5CDh1",2190,856,346,4139,3948,824,1063,1552
"CG14563",25,15,12,6,0,0,0,0
"mub",9555,3131,1245,16418,15042,3951,3993,6241
"CR43878",41,16,16,0,1,0,8,0
"CG7442",194,119,57,71,41,21,47,95
"DNApol-eta",1138,505,186,2526,2525,500,681,820
"CG14562",906,436,145,1530,1617,293,401,531
"CG7448",91,60,24,13,14,0,1,0
"CG7458",275,128,44,722,567,96,160,196
"CR45757",14,2,9,0,3,1,0,0
"CS-2",717,334,105,433,308,78,159,390
"CG7470",5883,1765,640,5335,4228,1320,1985,3460
"Act79B",2578,747,220,3107,2365,709,791,1404
"CG7140",86,69,20,23,0,0,7,0
"CG43392",31,19,2,0,0,0,0,0
"CR44687",33,12,6,0,0,0,0,0
"Oct-TyrR",243,189,58,94,80,11,19,27
"CG14561",170,193,61,880,670,104,149,151
"CG7139",1601,819,241,3981,4061,761,982,1089
"CR43995",23,13,4,31,8,7,2,0
"CG7133",289,172,68,844,864,180,185,261
"CG7130",109,56,20,743,601,178,41,80
"RpLP0",17620,6953,2163,37765,30157,5890,9297,12561
"Sfp79B",21,14,5,0,0,0,0,0
"msopa",27,16,11,0,0,2,0,0
"CR45236",10,13,4,0,0,0,3,0
"CR45235",13,10,2,0,0,0,0,0
"olf413",755,408,136,609,507,125,134,251
"CR45035",22,5,4,6,0,0,1,1
